D,S,Exact Match,Hierarchy
Resources,Natural Resources,No,Arts/Music/Resources/Downloadable_Music_Sheets/Original_Compositions
Resources,Natural Resources,No,Arts/Music/Resources/Downloadable_Music_Sheets/Public_Domain
Resources,Natural Resources,No,Arts/Music/Resources/Information_Centers
Resources,Natural Resources,No,Arts/Music/Resources/Libraries
Resources,Natural Resources,No,Arts/Music/Songwriting/Resources
Resources,Natural Resources,No,Arts/Music/Sound_Files/MIDI/Resources
Resources,Natural Resources,No,Arts/Music/Styles/By_Decade/1980s/Bands_and_Artists/R/REO_Speedwagon/Resources
Resources,Natural Resources,No,Arts/Music/Styles/C/Choral/Performing_Groups/Church_Choirs/Resources
Resources,Natural Resources,No,Arts/Music/Styles/C/Choral/Resources
Resources,Natural Resources,No,Arts/Music/Styles/F/Folk/Resources
Resources,Natural Resources,No,Arts/Music/Styles/F/Folk/Resources/Tune_Collections
Resources,Natural Resources,No,Arts/Music/Styles/F/Folk/Resources/Tune_Collections/Folk_Dance
Resources,Natural Resources,No,Arts/Music/Styles/J/Jazz/Resources
Resources,Natural Resources,No,Arts/Music/Styles/R/Regional_and_Ethnic/Celtic/Resources
Resources,Natural Resources,No,Arts/Music/Styles/R/Regional_and_Ethnic/Celtic/Resources/Tune_Collections
Resources,Natural Resources,No,Arts/Music/Vocal/Singing/Resources
Resources,Natural Resources,No,Arts/Online_Writing/Journals/Resources
Resources,Natural Resources,No,Arts/Online_Writing/Journals/Resources/Articles
Resources,Natural Resources,No,Arts/Online_Writing/Journals/Resources/Chats_and_Forums
Resources,Natural Resources,No,Arts/Online_Writing/Journals/Resources/Hosts
Resources,Natural Resources,No,Arts/Online_Writing/Journals/Resources/Hosts/Paid_Hosts
Resources,Natural Resources,No,Arts/Online_Writing/Journals/Resources/Mailing_Lists
Resources,Natural Resources,No,"Arts/People/B/Bowie,_David/Resources"
Resources,Natural Resources,No,Arts/People/C/Cher/Resources
Resources,Natural Resources,No,"Arts/People/H/Hartnett,_Josh/Resources"
Resources,Natural Resources,No,Arts/People/M/Madonna/Resources
Resources,Natural Resources,No,"Arts/People/O/Oleynik,_Larisa/Resources"
Resources,Natural Resources,No,"Arts/People/R/Ryan,_Jeri/Resources"
Resources,Natural Resources,No,Arts/Performing_Arts/Acrobatics/Resources
Resources,Natural Resources,No,"Arts/Performing_Arts/Acting/Actors_and_Actresses/C/Culkin,_Macaulay/Resources"
Resources,Natural Resources,No,"Arts/Performing_Arts/Acting/Actors_and_Actresses/T/Tyler,_Liv/Resources"
Resources,Natural Resources,No,Arts/Performing_Arts/Circus/Circuses/Cirque_Du_Soleil/Resources
Resources,Natural Resources,No,Arts/Performing_Arts/Comedy/Resources
Resources,Natural Resources,No,Arts/Performing_Arts/Dance/Classical_Indian/Resources
Resources,Natural Resources,No,Arts/Performing_Arts/Dance/Classical_Indian/Resources/Articles
Resources,Natural Resources,No,Arts/Performing_Arts/Resources
Resources,Natural Resources,No,Arts/Performing_Arts/Theatre/Musicals/Resources
Resources,Natural Resources,No,Arts/Performing_Arts/Theatre/Resources
Resources,Natural Resources,No,Arts/Performing_Arts/Theatre/Shakespeare/Resources
Resources,Natural Resources,No,Arts/Photography/Resources
Resources,Natural Resources,No,Arts/Radio/Formats/Community_Radio/Resources
Resources,Natural Resources,No,Arts/Radio/Regional/North_America/United_States/Iowa/Resources
Resources,Natural Resources,No,Arts/Radio/Resources
Resources,Natural Resources,No,Arts/Radio/Resources/Guides
Resources,Natural Resources,No,"Arts/Television/Programs/Action_and_Adventure/A-Team,_The/Resources"
Resources,Natural Resources,No,Arts/Television/Programs/Home_and_Garden/Trading_Spaces/Resources
Resources,Natural Resources,No,Arts/Television/Programs/Horror/Charmed/Resources
Resources,Natural Resources,No,Arts/Television/Programs/Science_Fiction_and_Fantasy/S/Star_Trek_Series/Resources
Resources,Natural Resources,No,Arts/Visual_Arts/Painting/Resources
Resources,Natural Resources,No,Arts/Visual_Arts/Resources
Resources,Natural Resources,No,Business/Accounting/Resources
Resources,Natural Resources,No,Business/Agriculture_and_Forestry/Aquaculture/Resources
Resources,Natural Resources,No,Business/Arts_and_Entertainment/Fashion/Designers/Resources
Resources,Natural Resources,No,Business/Arts_and_Entertainment/Media_Production/Film/Independent/Resources
Resources,Natural Resources,No,Business/Arts_and_Entertainment/Models/Resources
Resources,Natural Resources,No,Business/Business_Services/Communications/Translation/Resources
Resources,Natural Resources,No,Business/Business_Services/Government_Contracting/Resources
Resources,Natural Resources,No,Business/Business_Services/Office_Services/Secretarial_Services_and_Virtual_Assistants/Resources
Resources,Natural Resources,No,Business/Chemicals/Polymers/Resources
Resources,Natural Resources,No,Business/Chemicals/Polymers/Resources/Research_and_Education
Resources,Natural Resources,No,Business/Construction_and_Maintenance/Materials_and_Supplies/Masonry_and_Stone/Natural_Stone/Resources
Resources,Natural Resources,No,Business/Construction_and_Maintenance/Materials_and_Supplies/Site_Construction/Pavement/Resources
Resources,Natural Resources,No,Business/Construction_and_Maintenance/Residential_Housing/Manufactured/Resources
Resources,Natural Resources,No,Business/Construction_and_Maintenance/Residential_Housing/Resources
Resources,Natural Resources,No,Business/Construction_and_Maintenance/Tools_and_Equipment/Resources
Natural,Natural Resources,No,Business/Consumer_Goods_and_Services/Pet_Supplies/Pet_Food/Natural
Natural,Natural Resources,No,Business/Consumer_Goods_and_Services/Pet_Supplies/Pet_Food/Natural/Dogs_and_Cats
Natural,Natural Resources,No,Business/Consumer_Goods_and_Services/Pet_Supplies/Pet_Food/Natural/Raw_Ingredients
Natural,Natural Resources,No,Business/Consumer_Goods_and_Services/Pet_Supplies/Pet_Food/Natural/Treats
Natural,Natural Resources,No,Business/Consumer_Goods_and_Services/Pet_Supplies/Pet_Food/Natural/Treats/Dogs_and_Cats
Resources,Natural Resources,No,Business/Consumer_Goods_and_Services/Sporting_Goods/Cycling/Resources
Resources,Natural Resources,No,Business/Cooperatives/Resources
Resources,Natural Resources,No,Business/Electronics_and_Electrical/Contract_Manufacturing/Printed_Circuit_Boards/Tools_and_Equipment/Drills_and_Routers/Resources
Resources,Natural Resources,No,Business/Employment/Recruitment_and_Staffing/Resources
Resources,Natural Resources,No,Business/Employment/Recruitment_and_Staffing/Resources/Training_and_Seminars
Resources,Natural Resources,No,Business/Environment/Waste_Management/Recycling/Polymers/Resources
Resources,Natural Resources,No,Business/Financial_Services/Insurance/Life_and_Health/Managed_Care/Resources
Resources,Natural Resources,No,Business/Financial_Services/Insurance/Risk_Management/Resources
Resources,Natural Resources,No,Business/Financial_Services/Medical_Billing/Resources
Resources,Natural Resources,No,Business/Food_and_Related_Products/Cooperatives/Resources
Resources,Natural Resources,No,Business/Healthcare/Case_Management/Resources
Resources,Natural Resources,No,Business/Healthcare/Products_and_Services/Hygiene_Disposables/Resources
Resources,Natural Resources,No,Business/Healthcare/Products_and_Services/Resources
Resources,Natural Resources,No,Business/Hospitality/Travel/Resources
Resources,Natural Resources,No,Business/International_Business_and_Trade/Import_and_Export/Resources
Resources,Natural Resources,No,Business/Investing/Brokerages/Resources
Resources,Natural Resources,No,Business/Investing/Commodities_and_Futures/Forex/Resources
Resources,Natural Resources,No,Business/Investing/Commodities_and_Futures/Futures/Resources
Resources,Natural Resources,No,Business/Investing/Commodities_and_Futures/Resources
Resources,Natural Resources,No,Business/Investing/Day_Trading/Resources
Resources,Natural Resources,No,Business/Investing/Derivatives/Options/Resources
Resources,Natural Resources,No,Business/Investing/Derivatives/Options/Resources/Clubs
Resources,Natural Resources,No,Business/Investing/Derivatives/Resources
Resources,Natural Resources,No,Business/Investing/Derivatives/Resources/Clubs
Resources,Natural Resources,No,Business/Investing/Money_Managers/Resources
Resources,Natural Resources,No,Business/Investing/Resources
Resources,Natural Resources,No,Business/Investing/Resources/Clubs
Resources,Natural Resources,No,Business/Investing/Resources/Directories
Resources,Natural Resources,No,Business/Investing/Stocks_and_Bonds/Bonds/Resources
Resources,Natural Resources,No,Business/Investing/Stocks_and_Bonds/Equities/Resources
Resources,Natural Resources,No,Business/Investing/Stocks_and_Bonds/Equities/Resources/Clubs
Resources,Natural Resources,No,Business/Management/Business_Transformation/Resources
Resources,Natural Resources,No,Business/Management/Education_and_Training/Resources
Resources,Natural Resources,No,Business/Management/Strategy_and_Forecasting/Resources
Resources,Natural Resources,No,Business/Management/Theory_of_Constraints/Resources
Resources,Natural Resources,No,Business/Marketing_and_Advertising/Internet_Marketing/Resources
Resources,Natural Resources,No,Business/Marketing_and_Advertising/Internet_Marketing/Resources/Directories
Resources,Natural Resources,No,Business/Marketing_and_Advertising/Internet_Marketing/Resources/Tips
Resources,Natural Resources,No,Business/Materials/Metals/Resources
Resources,Natural Resources,No,Business/Materials/Pulp_and_Paper/Resources
Resources,Natural Resources,No,Business/Materials/Pulp_and_Paper/Resources/Directories
Resources,Natural Resources,No,Business/Materials/Pulp_and_Paper/Resources/Environment
Resources,Natural Resources,No,Business/Materials/Pulp_and_Paper/Resources/History
Resources,Natural Resources,No,Business/Materials/Pulp_and_Paper/Resources/Publications
Resources,Natural Resources,No,Business/Materials/Pulp_and_Paper/Resources/Research_and_Education
Resources,Natural Resources,No,Business/Opportunities/Online_Opportunities/Affiliate_Programs/Resources
Resources,Natural Resources,No,Business/Opportunities/Online_Opportunities/Affiliate_Programs/Resources/Chats_and_Forums
Resources,Natural Resources,No,Business/Opportunities/Online_Opportunities/Affiliate_Programs/Resources/Chats_and_Forums/Mailing_Lists
Resources,Natural Resources,No,Business/Opportunities/Online_Opportunities/Affiliate_Programs/Resources/Directories
Resources,Natural Resources,No,Business/Opportunities/Online_Opportunities/Affiliate_Programs/Resources/Education
Resources,Natural Resources,No,Business/Opportunities/Online_Opportunities/Affiliate_Programs/Resources/Software
Resources,Natural Resources,No,Business/Opportunities/Vending/Resources
Resources,Natural Resources,No,Business/Publishing_and_Printing/Printing/Products/Reprographics/Resources
Resources,Natural Resources,No,Business/Publishing_and_Printing/Printing/Resources
Resources,Natural Resources,No,Business/Resources
Resources,Natural Resources,No,Business/Resources/Conferences
Resources,Natural Resources,No,Business/Resources/Search_Engines
Resources,Natural Resources,No,Business/Resources/Standards_and_Codes
Resources,Natural Resources,No,Business/Small_Business/Home_Office/Resources
Resources,Natural Resources,No,Business/Small_Business/Resources
Resources,Natural Resources,No,Business/Small_Business/Resources/Australia
Resources,Natural Resources,No,Business/Small_Business/Resources/Canada
Resources,Natural Resources,No,Business/Small_Business/Resources/Networking_and_Peer_Support
Resources,Natural Resources,No,Business/Small_Business/Resources/United_States
Resources,Natural Resources,No,Business/Small_Business/Start_Up/Resources
Resources,Natural Resources,No,Business/Telecommunications/Call_Centers/Resources
Resources,Natural Resources,No,Business/Telecommunications/Location_and_Tracking/Resources
Resources,Natural Resources,No,Business/Telecommunications/Resources
Resources,Natural Resources,No,Business/Telecommunications/Resources/Numbering
Resources,Natural Resources,No,Business/Telecommunications/Resources/Phone_Rate_Comparisons
Resources,Natural Resources,No,Business/Telecommunications/Resources/Tariffs
Resources,Natural Resources,No,Business/Telecommunications/Services/Resources
Resources,Natural Resources,No,Business/Telecommunications/Services/Wireless/Resources
Resources,Natural Resources,No,Business/Telecommunications/Services/Wireless/Resources/3G
Resources,Natural Resources,No,Business/Telecommunications/Services/Wireless/Resources/Mobile_Phone_Unlocking_and_Repairs
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Dyestuffs_and_Chemicals/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Dyestuffs_and_Chemicals/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Dyestuffs_and_Chemicals/Resources/Articles_and_Studies/Conductive_Polymers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Dyestuffs_and_Chemicals/Resources/History
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Dyestuffs_and_Chemicals/Resources/Research
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Bi-Component_Fibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Biodegradable_Fibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Cellulosics
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Conductive_Fibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/High-Performance_Fibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Microfibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Mineral_Fibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Nanofibers
Resources,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Man-made/Resources/Articles_and_Studies/Spinning_Technology
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural
Natural,Natural Resources,No,Business/Textiles_and_Nonwovens/Fibers/Natural/Bamboo
